conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username
1858648683807732089,Mon Nov 18 23:09:12 +0000 2024,7,Kepala Kantor Komunikasi Presiden Hasan Nasbi mengatakan sistem program Lapor Mas Wapres masih tahap pembuatan dan dimatangkan. Karena menurut dia ada masyarakat yang hanya iseng mengirimkan aduan dan ucapan-ucapan. Hasan Nasbi: Program Lapor Mas Wapres Banyak yang Iseng https://t.co/6WzBgEMIHf,1858648683807732089,https://pbs.twimg.com/ext_tw_video_thumb/1858648565733842944/pu/img/eBjvw1CXsWrriL8G.jpg,,in,,1,12,1,https://x.com/VIVAcoid/status/1858648683807732089,41730943,VIVAcoid
1858486759589335309,Mon Nov 18 22:53:41 +0000 2024,0,@Mdy_Asmara1701 Itu cara masyarakat merespon kebodohan Lapor Mas Wapres @gibran_tweet Yg dari awal dianggap tdk kredibel sbg anak haram konstitusi atau baby nepo.,1858644779145539614,,Mdy_Asmara1701,in,,0,0,0,https://x.com/alexander19th/status/1858644779145539614,522655416,alexander19th
1858641909717348753,Mon Nov 18 22:42:17 +0000 2024,6,Pak @prabowo cepat Pulang. Rakyat Mau Curhat. Lapor Mas Wapres Centang 1.,1858641909717348753,,,in,"Klaten, Jawa Tengah",0,1,2,https://x.com/SemutMerah2024/status/1858641909717348753,1537213103397830656,SemutMerah2024
1858427426017362356,Mon Nov 18 22:38:13 +0000 2024,0,@democrazymedia Lapor Mas Wapres Hanya Sekedar Cek Ombak Untuk Naikin Rating Seperti Program Tv Lapor Pak ,1858640884482621847,,democrazymedia,in,,0,0,0,https://x.com/sugarsuga122187/status/1858640884482621847,1854463684728561664,sugarsuga122187
1858427426017362356,Mon Nov 18 22:36:38 +0000 2024,0,@democrazymedia Tandanya Lapor Mas Wapres ga tepat bro,1858640486371913878,,democrazymedia,in,"Batujajar, Indonesia",0,0,0,https://x.com/ImanPatuy/status/1858640486371913878,1062542056122249217,ImanPatuy
1858404713043312993,Mon Nov 18 22:25:04 +0000 2024,0,@CNNIndonesia Lapor mas wapres biar diliput media aja biar ngehits ! Seolah olah kerja .. alamaaaakkj,1858637573821960258,,CNNIndonesia,in,,0,0,0,https://x.com/Sang_Rajawali/status/1858637573821960258,300588255,Sang_Rajawali
1858636544770511312,Mon Nov 18 22:20:58 +0000 2024,92,Sebut banyak nomor iseng ke lapor mas wapres : laporannya main-2. Yo kalo buat kebijakan harus siap segala konsekwensinyalah 1 no wa untuk ratusan juta penduduk. Coba tengok call center/CS bank atau provider telepon sehari terima aduan berapa baik online ataupun offline? https://t.co/0zavTe6H1Q,1858636544770511312,https://pbs.twimg.com/media/Gcs0FfubYAA2f2x.jpg,,in,Zimbabwe ,4,33,32,https://x.com/V3g3L/status/1858636544770511312,224431376,V3g3L
1857816966204960889,Mon Nov 18 22:02:36 +0000 2024,0,@ShamsiAli2 Lapor ke Mas Wapres coba. Ini sesuai dng cita2 bangsa?,1858631923486388451,,ShamsiAli2,in,,0,0,0,https://x.com/Agus78Tito/status/1858631923486388451,4853280139,Agus78Tito
1858625410990473406,Mon Nov 18 21:36:44 +0000 2024,1,lapor mas wapres yang mulia,1858625410990473406,,,tl,,0,0,1,https://x.com/gusadiwidiastra/status/1858625410990473406,724238964165480449,gusadiwidiastra
1858404713043312993,Mon Nov 18 20:53:53 +0000 2024,0,@CNNIndonesia Kalau tak mau diisengi jgn buat lapor mas wapres.berarti kalian tdk siap menghadapi hal2 yg spt itu. Kalian kan pengelola ngr dr sekian rtus jt manusia? Blm bs myelesaikan mslh sdh mengeluh pengelola ngr apaan tuh? Kalian para pengelola ngr sdh terll srg mengisengi rkyt paham!,1858614630190641503,,CNNIndonesia,in,,0,0,0,https://x.com/NajibIbu14181/status/1858614630190641503,1800951429152243713,NajibIbu14181
1858404713043312993,Mon Nov 18 19:24:34 +0000 2024,0,@CNNIndonesia Lapor mas wapres diisengin orang Yg iseng ya situ ...bikin PROGRAM iseng² ...pengen mgisengin publik kan ? Nge prank rakyat kan ? https://t.co/93OqQEeass,1858592151237783816,https://pbs.twimg.com/media/GcsLtjnbcAIrpI9.jpg,CNNIndonesia,in,,0,0,0,https://x.com/AzzahraYasmin21/status/1858592151237783816,1830928665825443840,AzzahraYasmin21
1858404713043312993,Mon Nov 18 15:03:39 +0000 2024,0,@CNNIndonesia ternyata kedudukan wapres lebih tinggi dri presiden.. faktanya yg ada malah lapor mas wapres bukan lapor pak presiden..,1858526488397787218,,CNNIndonesia,in,,0,0,0,https://x.com/Pentolkecakot/status/1858526488397787218,1717595720138858496,Pentolkecakot
1858525988092842369,Mon Nov 18 15:01:39 +0000 2024,1,Istana Sebut Banyak Laporan Iseng di Program Lapor Mas Wapres https://t.co/XRfdDu78Kv,1858525988092842369,,,in,Jakarta,0,0,0,https://x.com/holopiscom/status/1858525988092842369,1366400664960573441,holopiscom
1858524156532515246,Mon Nov 18 14:54:23 +0000 2024,15,Sebut Banyak Orang Iseng Kirim Aduan ke Nomor WA 'Lapor Mas Wapres' Gibran Istana: Laporannya Main-main https://t.co/SH4FtjcC41,1858524156532515246,,,in,,0,0,15,https://x.com/OposisiCerdas/status/1858524156532515246,887743587579944960,OposisiCerdas
1858523480712777998,Mon Nov 18 14:51:46 +0000 2024,0,3. Mas Wapres @gibran_tweet Yang Mulia. Kalau program Lapor Mas Wapres serius tolong selesaikan masalah HAM di PIK 2. Tes tes! Ada perampasan tanah rakyat besar2an oleh PIK 2. @msaid_didu yang membela rakyat malah diancam UU ITE #KonspirasiJahatPIK2 #KonspirasiJahatPIK2,1858523499494875318,,Zay34562,in,,0,0,0,https://x.com/Zay34562/status/1858523499494875318,1541060230083006470,Zay34562
1858438132590326222,Mon Nov 18 14:48:21 +0000 2024,6,@NenkMonica Gimick lapor mas wapres hanya utk menaikan elektabilitas persiapan 2029.,1858522639767318821,,NenkMonica,in,", Indonesia",1,1,1,https://x.com/ediedot108/status/1858522639767318821,718071861746073600,ediedot108
1858427426017362356,Mon Nov 18 14:37:57 +0000 2024,0,@democrazymedia Lapor mas wapres timnas masih kalahan aja padahal udah naturalisasi...gimana ini mas,1858520021615644974,,democrazymedia,in,,0,0,0,https://x.com/36bMsu/status/1858520021615644974,1241654238477836289,36bMsu
1858518817556865347,Mon Nov 18 14:33:10 +0000 2024,0,Istana Sebut Program 'Lapor Mas Wapres' Banyak Masuk Laporan Iseng Selengkapnya: https://t.co/29OElNfxLi #Program #WapresRI #LaporMasWapres #Laporan #Iseng #GibranRakabuming https://t.co/c3M6lPkdDk,1858518817556865347,https://pbs.twimg.com/media/GcrI_oyawAAd_Xl.jpg,,in,,0,0,0,https://x.com/finindonesia/status/1858518817556865347,998801336601788417,finindonesia
1858518747608424604,Mon Nov 18 14:32:54 +0000 2024,2,Pesan moral: 1. Inovasi lapor mas wapres tidaklah baru. Harusnya beliau evaluasi efektivitas program serupa yaitu layanan SMS 9949 Pak SBY. 2. Penggunaan app atau web seperti JAKI di Jakarta jauh lebih efektif. Transparan karena ada realtime report tindak lanjut keluhan kita.,1858518750146052262,,afidbrilliana,in,afidbrilliana.com,0,1,0,https://x.com/afidbrilliana/status/1858518750146052262,752529733,afidbrilliana
1858518747608424604,Mon Nov 18 14:32:53 +0000 2024,17,Inovasi medium lapor mas wapres ini bukan hal baru. Dulu presiden SBY punya lapor via SMS ke 9949. Muncul karena nomor pribadi pak SBY tak sengaja tersebar. Cerita lucu itu saya pernah baca di buku Harus Bisa: Seni Memimpin ala SBY yg ditulis Bapak @dinopattidjalal,1858518747608424604,,,in,afidbrilliana.com,1,2,5,https://x.com/afidbrilliana/status/1858518747608424604,752529733,afidbrilliana
1858499904416719032,Mon Nov 18 14:31:41 +0000 2024,0,@intakbekasi Nanti ya Mamah ikut lapor mas wapres.,1858518443248738479,,intakbekasi,in,,0,1,0,https://x.com/rintikmantra/status/1858518443248738479,324361034,rintikmantra
1858518020668502167,Mon Nov 18 14:30:00 +0000 2024,0,KEPALA Kantor Komunikasi Kepresidenan (PCO) Hasan Nasbi mengungkap ada yang iseng menyampaikan laporan ke Lapor Mas Wapres. https://t.co/FST1sXW4Cn,1858518020668502167,,,in,Jakarta - Indonesia,0,0,0,https://x.com/mediaindonesia/status/1858518020668502167,68930552,mediaindonesia
1858427426017362356,Mon Nov 18 14:22:36 +0000 2024,1,@democrazymedia Yg buat Lapor Mas Wapres juga main-main koq..,1858516158124593300,,democrazymedia,in,,0,0,0,https://x.com/bangkum/status/1858516158124593300,1147288298,bangkum
1858514558836670578,Mon Nov 18 14:16:15 +0000 2024,0,Banyak Laporan Iseng di Layanan Lapor Mas Wapres Pemerintah Siapkan Sistem Penyaringan https://t.co/he9Cx1QeTV,1858514558836670578,,,in,Jakarta Capital Region,0,0,0,https://x.com/akuratco/status/1858514558836670578,786549338818224128,akuratco
1858512915067973748,Mon Nov 18 14:09:43 +0000 2024,2,Status Pesan tak Diterima saat 'Lapor Mas Wapres' Alasannya Sistemnya Sedang Dibuat https://t.co/ySIOU2gJYh,1858512915067973748,,,in,Indonesia,0,0,1,https://x.com/geloraco/status/1858512915067973748,3319260420,geloraco
1858435151333924894,Mon Nov 18 14:04:27 +0000 2024,0,@xquitavee @gibran_tweet Msh agungkan gibran sbg wapres dgn bikin lapor mas wapres??1 bln jadi wapres nilai tukar rupiah melemah terdlm dibndgkn mt uang asia lain hr ini usd =15.900 uang adlh simbol suatu negara kalau nilai tukarnya melemah berarti simbol neg tdk dijaga bethul,1858511591630885366,,xquitavee,in,,0,0,0,https://x.com/SusantoIrawan8/status/1858511591630885366,1376992601111334915,SusantoIrawan8
1858404713043312993,Mon Nov 18 14:00:21 +0000 2024,0,@CNNIndonesia Emang sebelumnya tdk diantisipasi lalu sekarang lapor mas wapres dilanjut kagak https://t.co/Qr3DN9x00F,1858510559643386294,https://pbs.twimg.com/media/GcrBeYEbUAAGv59.jpg,CNNIndonesia,in,,0,0,0,https://x.com/Aa363738/status/1858510559643386294,1086555366807068672,Aa363738
1858462538947764680,Mon Nov 18 13:52:50 +0000 2024,0,@txtdarisukabumi Lapor mas wapres nih ,1858508669102481794,,txtdarisukabumi,in,,0,0,0,https://x.com/MuhamadSubki15/status/1858508669102481794,1350706038354309121,MuhamadSubki15
1858486759589335309,Mon Nov 18 13:51:30 +0000 2024,0,@Mdy_Asmara1701 Status Pesan tak Diterima saat 'Lapor Mas Wapres' Alasannya Sistemnya Sedang Dibuat https://t.co/lk3MOuGwJQ,1858508331650060461,,Mdy_Asmara1701,in,"DKI Jakarta, Indonesia",0,0,0,https://x.com/RahmatSebo/status/1858508331650060461,1202092090022387713,RahmatSebo
1858505714651844696,Mon Nov 18 13:41:06 +0000 2024,0,Aduan Lapor Mas Wapres Picu Prokontra Bukan Barang Baru Lagi - https://t.co/W0U3tI2KeT https://t.co/FedyB4CR2u,1858505714651844696,https://pbs.twimg.com/media/Gcq9GPBbEAEqSo2.jpg,,in,"Surakarta, Jawa Tengah",0,0,0,https://x.com/Joglosemarnews/status/1858505714651844696,949224511508955136,Joglosemarnews
1858484931350908971,Mon Nov 18 13:31:33 +0000 2024,2,@BudiBukanIntel Lagian lapor yg susah2... Kapasitas mas wapres itu cuma soal jalan rusak dan hal remeh lainnya ,1858503313416769825,,BudiBukanIntel,in,"DKI Jakarta, Indonesia",0,0,0,https://x.com/joehelmiy/status/1858503313416769825,144086531,joehelmiy
1858496652740624503,Mon Nov 18 13:17:43 +0000 2024,0,@BangBib4 Beluman Bang Bib... WA Lapor Mas Wapres Aja maseh Blom Lancar....,1858499828831199322,,BangBib4,in,,0,0,0,https://x.com/IfantsA76810/status/1858499828831199322,1680515879812091904,IfantsA76810
